full_fips,api_med_income,api_month_med_income
17189,35549,2962.41666666667
41067,38189,3182.41666666667
41007,26716,2226.33333333333
42023,23191,1932.58333333333
42017,40466,3372.16666666667
42077,30969,2580.75
42031,24572,2047.66666666667
42059,26277,2189.75
42079,28094,2341.16666666667
42037,27199,2266.58333333333
42065,26079,2173.25
42099,32005,2667.08333333333
42113,25406,2117.16666666667
44003,37994,3166.16666666667
44009,36249,3020.75
45071,25159,2096.58333333333
45027,21319,1776.58333333333
45085,25126,2093.83333333333
45011,22901,1908.41666666667
45031,22175,1847.91666666667
45091,32174,2681.16666666667
45021,23065,1922.08333333333
45053,25243,2103.58333333333
45061,19677,1639.75
45001,21890,1824.16666666667
46085,25879,2156.58333333333
46039,32314,2692.83333333333
06021,24329,2027.41666666667
06007,24067,2005.58333333333
06031,26841,2236.75
06063,31351,2612.58333333333
06079,31938,2661.5
06019,25238,2103.16666666667
06029,25013,2084.41666666667
06059,36135,3011.25
06111,33814,2817.83333333333
06009,29124,2427
06101,26334,2194.5
06081,49128,4094
06109,29458,2454.83333333333
06077,29535,2461.25
06005,31160,2596.66666666667
08095,31635,2636.25
08007,26314,2192.83333333333
08031,39806,3317.16666666667
08061,25980,2165
08055,23471,1955.91666666667
08009,23096,1924.66666666667
08047,44683,3723.58333333333
08063,29742,2478.5
08051,28016,2334.66666666667
08079,30038,2503.16666666667
08091,34906,2908.83333333333
08115,24202,2016.83333333333
08123,34305,2858.75
08027,26669,2222.41666666667
08023,18902,1575.16666666667
08035,52910,4409.16666666667
08065,30400,2533.33333333333
08067,34074,2839.5
08097,42002,3500.16666666667
08105,21787,1815.58333333333
08011,20260,1688.33333333333
08025,18032,1502.66666666667
08111,32500,2708.33333333333
08069,32905,2742.08333333333
08075,27450,2287.5
08113,36451,3037.58333333333
08119,35242,2936.83333333333
08039,42429,3535.75
08071,23653,1971.08333333333
08073,25561,2130.08333333333
08117,36007,3000.58333333333
08003,21241,1770.08333333333
08029,25880,2156.66666666667
08043,26243,2186.91666666667
08085,27033,2252.75
08087,27765,2313.75
08109,23863,1988.58333333333
08099,26363,2196.91666666667
08121,28315,2359.58333333333
08049,35000,2916.66666666667
08089,21957,1829.75
08014,47013,3917.75
10005,31752,2646
11001,49542,4128.5
09009,35721,2976.75
09003,37985,3165.41666666667
47157,28181,2348.41666666667
47077,24619,2051.58333333333
47089,22984,1915.33333333333
47153,21794,1816.16666666667
47017,22236,1853
47037,32518,2709.83333333333
47135,19701,1641.75
47121,24033,2002.75
47075,22915,1909.58333333333
47125,31030,2585.83333333333
47061,20029,1669.08333333333
47029,21351,1779.25
47041,28066,2338.83333333333
47101,22104,1842
47131,23795,1982.91666666667
47167,30703,2558.58333333333
47045,25698,2141.5
47065,29070,2422.5
47139,25015,2084.58333333333
47185,22788,1899
47163,24758,2063.16666666667
36095,30092,2507.66666666667
36035,27934,2327.83333333333
36083,36310,3025.83333333333
36033,28799,2399.91666666667
36081,31992,2666
36115,29231,2435.91666666667
36061,50985,4248.75
36011,30756,2563
36087,39095,3257.91666666667
36063,30704,2558.66666666667
36031,30096,2508
