fips,county,state,iso_3166_2,total_homeowners,total_mortgages,predicted_foreclosure_rate,white_ho_share,RGDP_2012,unemp_rate,api_total_med_owner_cost,api_w_mort_med_owner_cost,api_w_o_mort_med_owner_cost,api_share_never_married,api_share_married,api_share_divorced,api_share_separated,api_share_widowed,api_share_other_than_married,api_share_less_hs,api_share_hs_or_equiv,api_share_some_col_or_assoc,api_share_bachelor,api_share_grad_or_prof,api_month_med_income,api_cost_to_income_ratio
17081,Jefferson County,Illinois,IL,11485,6252,0.031,0.947,1880802,0.0442513292550454,706,1081,443,0.281899303067804,0.499348661499381,0.138214029831303,0.0153390216895721,0.065198983911939,0.500651338500619,0.120875767631689,0.304840370751802,0.390929549528932,0.112903841019186,0.0704504710683907,2223.25,0.3175531316766
17091,Kankakee County,Illinois,IL,27227,16034,0.026,0.868,5608505,0.0482170211250045,1056,1394,560,0.359169504703293,0.459641476582091,0.102300726026347,0.0130640940001533,0.0658241986881153,0.540358523417909,0.11712959849351,0.336095231690094,0.334602192481001,0.133270562916134,0.0789024144192616,2301.58333333333,0.458814584163077
17093,Kendall County,Illinois,IL,33894,24939,0.03,0.809,3008434,0.0343877222680787,1803,2051,798,0.313956625505863,0.55453979454187,0.0801494240946353,0.0118916675313894,0.0394624883262426,0.44546020545813,0.0703305100936127,0.234859580971789,0.33425460103165,0.229293765522512,0.131261542380437,3347.5,0.538610903659447
17099,La Salle County,Illinois,IL,32033,18108,0.026,,5410182,0.0511971472236373,868,1228,512,0.292009875680045,0.506620201446394,0.116039240533986,0.0137101531604361,0.0716205291791387,0.493379798553606,0.110459949252309,0.355246718788238,0.353829905073481,0.120351885006247,0.0601115418797254,2457,0.353276353276353
17101,Lawrence County,Illinois,IL,5079,2439,0.024,0.938,566681,0.0530213768725804,587,982,353,0.269652650822669,0.506703229737965,0.131474710542352,0.0120353443022547,0.0801340645947593,0.493296770262035,0.143004203482886,0.350433216093335,0.357124474564639,0.0977095307540534,0.0517285751050871,2166.16666666667,0.270985612064322
17105,Livingston County,Illinois,IL,10666,5394,0.013,0.925,1862479,0.0390709398631617,831,1143,537,0.304640325544762,0.484247834077186,0.118600682593857,0.011682856392754,0.0808283013914413,0.515752165922814,0.102161176424941,0.441275753695728,0.312730376750863,0.0954487254103131,0.0483839677181547,2428.91666666667,0.342127834768586
17109,McDonough County,Illinois,IL,9506,4978,0.018,0.959,1116077,0.0446765947988442,689,960,450,0.398383049902425,0.400533673184914,0.110597793619818,0.0154526265482496,0.0750328567445936,0.599466326815086,0.0616243491330721,0.306296634279886,0.300391862150411,0.158945729776155,0.172741424660476,1753.91666666667,0.392835083384805
17111,McHenry County,Illinois,IL,88641,64357,0.026,0.899,10296845,0.0344035083604981,1567,1866,769,0.288792523068393,0.559114490515227,0.0928834501603897,0.0104114688527187,0.0487980674032712,0.440885509484773,0.066886526486088,0.264410949593387,0.326118484977575,0.228765897157299,0.113818141785651,3282.5,0.477380045696877
17117,Macoupin County,Illinois,IL,13611,7285,0.02,0.982,1222824,0.0410544511668107,736,1066,432,0.252615255217368,0.545313567786364,0.124270619776061,0.00893655049151028,0.0688640067286968,0.454686432213636,0.0870018393623544,0.392152053954629,0.334304107909258,0.126394849785408,0.0601471489883507,2444.08333333333,0.301135395001535
17125,Mason County,Illinois,IL,4133,2168,0.035,0.976,500812,0.0511156828612122,643,984,456,0.244708763337415,0.538394262725206,0.116931957320273,0.00892076263774707,0.0910442539793598,0.461605737274795,0.107744783306581,0.416733547351525,0.306681380417335,0.117375601926164,0.0514646869983949,2230.33333333333,0.288297713346287
