State,Name,RGDP_2012,Combined_Area
Colorado,Sedgwick County,99198,0
Colorado,Summit County,2363993,0
Colorado,Teller County,931220,0
Colorado,Washington County,202411,0
Colorado,Weld County,22020305,0
Colorado,Yuma County,648523,0
Connecticut,Fairfield County,79854813,0
Connecticut,Hartford County,79962243,0
Connecticut,Litchfield County,7604383,0
Connecticut,Middlesex County,8679288,0
Connecticut,New Haven County,48368218,0
Connecticut,New London County,17344547,0
Connecticut,Tolland County,4908348,0
Connecticut,Windham County,4688643,0
Delaware,Kent County,7274755,0
Delaware,New Castle County,45494166,0
Delaware,Sussex County,11602065,0
District of Columbia,District of Columbia,123929268,0
Florida,Alachua County,12914477,0
Florida,Baker County,559561,0
Florida,Bay County,7772152,0
Florida,Bradford County,668271,0
Florida,Brevard County,24619760,0
Florida,Broward County,99909302,0
Florida,Calhoun County,253914,0
Florida,Charlotte County,4952728,0
Florida,Citrus County,3879314,0
Florida,Clay County,4858684,0
Florida,Collier County,16351772,0
Florida,Columbia County,2228549,0
Florida,DeSoto County,1014538,0
Florida,Dixie County,289624,0
Florida,Duval County,60169891,0
Florida,Escambia County,14931928,0
Florida,Flagler County,2221979,0
Florida,Franklin County,381839,0
Florida,Gadsden County,1276171,0
Florida,Gilchrist County,355242,0
Florida,Glades County,320686,0
Florida,Gulf County,410310,0
Florida,Hamilton County,492817,0
Florida,Hardee County,1023242,0
Florida,Hendry County,1314540,0
Florida,Hernando County,3971573,0
Florida,Highlands County,2626612,0
Florida,Hillsborough County,84884933,0
Florida,Holmes County,338550,0
Florida,Indian River County,5966999,0
Florida,Jackson County,1408654,0
Florida,Jefferson County,293810,0
Florida,Lafayette County,171278,0
Florida,Lake County,8468770,0
Florida,Lee County,28207575,0
Florida,Leon County,14357206,0
Florida,Levy County,933042,0
Florida,Liberty County,214226,0
Florida,Madison County,434847,0
Florida,Manatee County,13354224,0
Florida,Marion County,9331478,0
Florida,Martin County,7113457,0
Florida,Miami-Dade County,151587328,0
Florida,Monroe County,4523546,0
Florida,Nassau County,2397438,0
Florida,Okaloosa County,11156453,0
Florida,Okeechobee County,1577307,0
Florida,Orange County,90245169,0
Florida,Osceola County,9053658,0
Florida,Palm Beach County,75635325,0
Florida,Pasco County,11638076,0
Florida,Pinellas County,47873967,0
Florida,Polk County,24837880,0
Florida,Putnam County,2066592,0
Florida,St. Johns County,7778133,0
Florida,St. Lucie County,8431479,0
Florida,Santa Rosa County,4137020,0
Florida,Sarasota County,18382610,0
Florida,Seminole County,20654326,0
Florida,Sumter County,2690053,0
Florida,Suwannee County,1258570,0
Florida,Taylor County,766755,0
Florida,Union County,272507,0
Florida,Volusia County,17063419,0
Florida,Wakulla County,692619,0
Florida,Walton County,2775045,0
Florida,Washington County,524311,0
Georgia,Appling County,1427791,0
Georgia,Atkinson County,256536,0
Georgia,Bacon County,353246,0
Georgia,Baker County,88111,0
Georgia,Baldwin County,1246391,0
Georgia,Banks County,405737,0
Georgia,Barrow County,1930607,0
Georgia,Bartow County,4408132,0
Georgia,Ben Hill County,505476,0
Georgia,Berrien County,381773,0
Georgia,Bibb County,8213443,0
Georgia,Bleckley County,248980,0
Georgia,Brantley County,235447,0
Georgia,Brooks County,369215,0
Georgia,Bryan County,859218,0
Georgia,Bulloch County,2173735,0
Georgia,Burke County,2811746,0
Georgia,Butts County,609056,0
Georgia,Calhoun County,140142,0
Georgia,Camden County,1822567,0
Georgia,Candler County,256331,0
Georgia,Carroll County,4253711,0
Georgia,Catoosa County,1420539,0
Georgia,Charlton County,190432,0
Georgia,Chatham County,16996540,0
Georgia,Chattahoochee County,1345383,0
Georgia,Chattooga County,598372,0
Georgia,Cherokee County,6514858,0
Georgia,Clarke County,7083717,0
Georgia,Clay County,88363,0
Georgia,Clayton County,17247201,0
Georgia,Clinch County,249282,0
Georgia,Cobb County,49217819,0
Georgia,Coffee County,1466173,0
Georgia,Colquitt County,1427794,0
Georgia,Columbia County,3449629,0
Georgia,Cook County,359989,0
Georgia,Coweta County,4062990,0
Georgia,Crawford County,144163,0
Georgia,Crisp County,867318,0
Georgia,Dade County,372780,0
Georgia,Dawson County,779587,0
Georgia,Decatur County,848450,0
Georgia,DeKalb County,37825628,0
Georgia,Dodge County,437600,0
Georgia,Dooly County,433645,0
Georgia,Dougherty County,4384137,0
Georgia,Douglas County,4077448,0
Georgia,Early County,541155,0
Georgia,Echols County,40209,0
Georgia,Effingham County,1682932,0
Georgia,Elbert County,573063,0
Georgia,Emanuel County,680882,0
Georgia,Evans County,377492,0
Georgia,Fannin County,670127,0
Georgia,Fayette County,4669141,0
Georgia,Floyd County,3960973,0
Georgia,Forsyth County,8382170,0
Georgia,Franklin County,844841,0
Georgia,Fulton County,159931648,0
Georgia,Gilmer County,817723,0
Georgia,Glascock County,34369,0
Georgia,Glynn County,3769083,0
Georgia,Gordon County,2140067,0
