full_fips,NAME,api_total_med_owner_cost,api_w_mort_med_owner_cost,api_w_o_mort_med_owner_cost,api_share_never_married,api_share_married,api_share_divorced,api_share_separated,api_share_widowed,api_share_other_than_married,api_share_less_hs,api_share_hs_or_equiv,api_share_some_col_or_assoc,api_share_bachelor,api_share_grad_or_prof
46035,"Davison County, South Dakota",863,1215,481,0.249286031605001,0.551373992511265,0.107761629751856,0.0254490067906327,0.0661293393412452,0.448626007488735,0.0743217855264147,0.318328699180882,0.349740737957466,0.190275794694522,0.0673329826407154
46073,"Jerauld County, South Dakota",597,1210,403,0.232268543584191,0.618299945858148,0.0682187330806714,0.00487276664861938,0.0763400108283703,0.381700054141852,0.114450127877238,0.393222506393862,0.280690537084399,0.154092071611253,0.0575447570332481
46117,"Stanley County, South Dakota",1000,1541,488,0.20905086103324,0.661593912695234,0.0760913095714858,0.00120144173007609,0.052062474969964,0.338406087304766,0.0493542435424354,0.321955719557196,0.32380073800738,0.159132841328413,0.145756457564576
46107,"Potter County, South Dakota",576,1145,418,0.199199199199199,0.591091091091091,0.0940940940940941,0.0035035035035035,0.112112112112112,0.408908908908909,0.0877689694224236,0.349943374858437,0.344280860702152,0.150622876557191,0.0673839184597961
46023,"Charles Mix County, South Dakota",558,1172,435,0.355521515109316,0.454950563988303,0.0882885392006684,0.0155967135496449,0.085642668152068,0.545049436011698,0.109975753377208,0.373397990994112,0.331485971596813,0.142881884308971,0.0422583997228957
46091,"Marshall County, South Dakota",605,1184,433,0.261002289493768,0.555838209107098,0.0994657847875859,0.00508776392775375,0.0786059526837955,0.444161790892903,0.076219512195122,0.311585365853659,0.363414634146341,0.196341463414634,0.0524390243902439
46105,"Perkins County, South Dakota",595,1069,452,0.169164882226981,0.666809421841542,0.0749464668094218,0.00342612419700214,0.0856531049250535,0.333190578158458,0.0733365711510442,0.361340456532297,0.36716852841185,0.138416707139388,0.0597377367654201
21235,"Whitley County, Kentucky",481,933,273,0.256650565928916,0.517626703193714,0.131353182899575,0.0304231850623603,0.0639463629154351,0.482373296806287,0.187412219101124,0.374868328651685,0.237710674157303,0.101781952247191,0.0982268258426966
21071,"Floyd County, Kentucky",457,969,333,0.225242783695689,0.517557713632851,0.13905037131624,0.0373332437245875,0.0808158876306328,0.48244228636715,0.241101645466215,0.375656435990197,0.262535496168359,0.0680748434278601,0.0526315789473684
21117,"Kenton County, Kentucky",1083,1288,433,0.326856524324242,0.472786730291342,0.128138673334045,0.0172426935801076,0.0549753784702636,0.527213269708658,0.10377418045723,0.28479054876674,0.294250800378771,0.195409658655364,0.121774811741895
21153,"Magoffin County, Kentucky",376,862,299,0.223957824855999,0.515571609879918,0.128087474372742,0.0507663770379772,0.0816167138533633,0.484428390120082,0.295809739524349,0.356172140430351,0.249490373725934,0.0498301245753114,0.0486976217440544
21205,"Rowan County, Kentucky",553,1162,329,0.370105326815502,0.414201481630802,0.132036486418384,0.0267096709166961,0.0569470342186161,0.585798518369198,0.145943685531084,0.336841371619738,0.251951491497073,0.126359074435461,0.138904376916643
21217,"Taylor County, Kentucky",531,924,344,0.263635912452231,0.507568613826989,0.114943669661025,0.0285870266514467,0.0852647774083081,0.492431386173011,0.134372315621549,0.376733341514296,0.289176586084182,0.102282488648914,0.097435268131059
21039,"Carlisle County, Kentucky",545,966,332,0.20257966616085,0.559686393525544,0.122913505311077,0.0149215983813859,0.0998988366211431,0.440313606474456,0.172954149738828,0.403076030179919,0.270748694138131,0.0902495647127104,0.0629715612304121
21065,"Estill County, Kentucky",458,873,322,0.279588046598008,0.415667735944623,0.179891946648658,0.0342731723788621,0.0905790984298497,0.584332264055377,0.25360258798157,0.45319086364082,0.196353298696206,0.0605822958533477,0.0362709538280561
22079,"Rapides Parish, Louisiana",697,1184,329,0.331541442680335,0.425976323963572,0.134545664361891,0.0311192745247002,0.076817294469501,0.574023676036428,0.142490283971706,0.367477959806023,0.279764293166107,0.132458986323042,0.0778084767331216
22105,"Tangipahoa Parish, Louisiana",737,1197,309,0.341162688534192,0.442114511641529,0.124186069214624,0.0267681944647825,0.0657685361448724,0.557885488358471,0.163366394741475,0.370913786020306,0.263196196959915,0.138928340865074,0.0635952814132285
22123,"West Carroll Parish, Louisiana",350,886,252,0.260210293303819,0.488544548976204,0.139679026009961,0.0206972883231876,0.090868843386829,0.511455451023796,0.214120072146354,0.451558876578202,0.220304045349137,0.0800051533110023,0.0340118526153053
22021,"Caldwell Parish, Louisiana",452,932,275,0.296505652620761,0.478674203494347,0.129110996916752,0.0235097636176773,0.0721993833504625,0.521325796505653,0.227517294388932,0.421214450422752,0.20814757878555,0.109915449654112,0.0332052267486549
22035,"East Carroll Parish, Louisiana",371,1082,267,0.462079749804535,0.30766223612197,0.129202501954652,0.0299061767005473,0.0711493354182955,0.69233776387803,0.297843965325628,0.418759724383196,0.187819515447877,0.0733496332518338,0.0222271615914648
22039,"Evangeline Parish, Louisiana",459,1016,300,0.337610789980732,0.426435452793834,0.119421965317919,0.0439306358381503,0.0726011560693642,0.573564547206166,0.237783798934878,0.416892460057928,0.226291693917593,0.0885265813323367,0.0305054657572643
22087,"St. Bernard Parish, Louisiana",654,1117,326,0.38258064516129,0.392117812061711,0.132791023842917,0.0333520336605891,0.0591584852734923,0.607882187938289,0.198535017069371,0.320075569255245,0.366477743528554,0.0845182459978125,0.0303934241490173
22121,"West Baton Rouge Parish, Louisiana",686,1425,364,0.346812652068127,0.511630170316302,0.0864233576642336,0.0127980535279805,0.0423357664233577,0.488369829683698,0.115235167894218,0.370875137737053,0.292350519051209,0.151191787971931,0.0703473873455895
22081,"Red River Parish, Louisiana",521,1064,302,0.336645588678109,0.445498343872328,0.104637157482686,0.028003613369467,0.0852152965974104,0.554501656127672,0.189304055250576,0.440587922790862,0.225606516734549,0.0887196741632725,0.0557818310607402
22069,"Natchitoches Parish, Louisiana",525,1230,321,0.469174962038131,0.36817951746246,0.0740003374388392,0.0263539733423317,0.0622912097182386,0.63182048253754,0.114326935688366,0.35535347352774,0.339832990862589,0.114370655357846,0.0761159445634591
22025,"Catahoula Parish, Louisiana",440,958,295,0.280614306884009,0.534015896537788,0.0902600026943284,0.025865553010912,0.0692442408729624,0.465984103462212,0.249234734976639,0.386499113903657,0.218301917190269,0.0989205735459965,0.0470436603834381
